,CH,CU,FC,FF,SI,batter,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_SI,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
75,0,0,0,1,0,534947,0,0,0,0,0,0,0,2,2,16,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93.7,12.0,0.61315,1.4584666666666668,0.17,4.35
76,0,0,0,1,0,541608,0,0,0,2,0,0,0,1,2,15,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.3,13.0,-0.6407416666666667,-0.6972666666666666,-0.39,0.73
77,0,1,0,0,0,541608,0,0,0,2,0,0,0,1,2,15,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.9,11.0,1.06405,1.6491,-1.39,2.85
78,0,0,0,1,0,541608,0,0,0,1,0,0,0,1,2,15,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94.4,5.0,1.1572916666666668,1.6648666666666667,-0.27,2.32
79,0,0,0,1,0,541608,0,0,0,0,0,0,0,1,2,15,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.7,13.0,0.1650333333333333,0.8349666666666666,-1.24,1.53
80,0,0,0,1,0,623182,0,0,2,2,0,0,0,0,2,14,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.4,6.0,0.7871083333333333,1.475666666666667,0.62,2.41
81,0,0,0,1,0,623182,0,0,2,1,0,0,0,0,2,14,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90.4,11.0,0.1608583333333333,0.9066333333333332,-1.19,2.76
82,0,0,1,0,0,623182,0,0,2,0,0,0,0,0,2,14,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.4,14.0,1.583141666666667,1.1288,0.97,1.12
83,0,0,0,0,1,623182,0,0,1,0,0,0,0,0,2,14,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.5,11.0,-0.743725,-0.40486666666666654,-0.17,3.58
84,0,1,0,0,0,623182,0,0,0,0,0,0,0,0,2,14,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93.7,6.0,1.0710083333333331,1.4771,0.37,2.48
