,CH,CU,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FF,prev_SL,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_into_play,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
16816,0,1,0,0,1,0,1,2,0,0,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,94.3,12.0,-1.3268333333333333,1.6261666666666668,0.345,3.574
16817,0,0,1,0,1,0,1,1,0,0,0,0,1,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,93.1,5.0,-1.369975,1.5373,-0.161,2.264
16818,0,0,1,0,1,0,1,0,0,0,0,0,1,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92.8,11.0,-0.9469083333333332,1.3495333333333333,-1.562,3.909
16819,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16820,0,0,1,0,1,0,1,0,1,0,0,2,7,61,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,88.1,13.0,-1.7805166666666667,1.0098333333333331,-0.39,0.185
16821,1,0,0,0,1,0,0,0,1,0,0,2,7,61,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16822,0,0,1,0,0,0,0,2,0,1,0,1,7,60,3,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,85.0,2.0,0.17199166666666665,0.19856666666666664,0.043,3.097
16823,0,0,0,1,0,0,0,1,0,1,0,1,7,60,2,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,94.8,6.0,-1.1292166666666663,1.6577,0.468,2.25
16824,0,0,1,0,0,0,0,0,0,1,0,1,7,60,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16825,0,0,1,0,0,0,1,0,0,0,0,1,7,59,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92.4,14.0,-1.15705,1.6677333333333333,0.884,1.447
16826,0,0,1,0,0,0,0,0,0,0,0,1,7,59,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16827,0,0,0,1,0,0,2,1,0,0,0,0,7,58,4,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83.3,14.0,0.14555,0.3032,0.203,1.64
16828,0,0,0,1,0,0,1,1,0,0,0,0,7,58,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,85.1,5.0,0.3640416666666666,0.6672666666666666,-0.22,2.296
16829,0,0,0,1,0,0,1,0,0,0,0,0,7,58,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,93.0,13.0,-1.4061583333333332,0.9883333333333332,-1.769,1.901
16830,0,0,1,0,0,0,0,0,0,0,0,0,7,58,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16831,0,1,0,0,1,0,2,2,0,0,0,2,6,52,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,87.4,13.0,-1.5689833333333332,0.6887666666666666,-0.678,0.793
