,CH,CU,FC,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
20443,0,0,0,1,0,1,0,1,2,0,0,0,0,8,58,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,97.7,11.0,-0.78965,1.2406,-0.976,2.936
20444,0,0,0,1,0,1,0,1,2,0,0,0,0,8,58,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,97.5,4.0,-0.834183333333333,1.2793,-0.399,2.06
20445,1,0,0,0,0,1,0,0,2,0,0,0,0,8,58,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,84.9,14.0,-1.5773333333333333,-0.042233333333333324,1.333,-0.776
20446,1,0,0,0,0,1,0,0,1,0,0,0,0,8,58,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,86.5,7.0,-1.152875,0.14696666666666666,-0.56,1.542
20447,1,0,0,0,0,1,0,0,0,0,0,0,0,8,58,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,84.9,11.0,-1.4019833333333331,0.0796,-1.036,2.607
20448,0,0,0,0,1,0,0,2,2,0,0,0,2,7,54,10,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,87.5,9.0,0.1608583333333333,0.1398,0.545,1.466
20449,0,1,0,0,0,0,0,2,2,0,0,0,2,7,54,9,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,79.0,5.0,0.5686166666666665,0.013666666666666666,-0.031,2.305
20450,0,0,0,1,0,0,0,2,2,0,0,0,2,7,54,8,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,95.0,4.0,-1.0206666666666664,1.250633333333333,-0.607,2.134
20451,0,0,0,1,0,0,0,2,2,0,0,0,2,7,54,7,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,97.1,9.0,-1.2725583333333332,1.3452333333333333,0.382,2.067
20452,0,0,0,1,0,0,0,2,2,0,0,0,2,7,54,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,96.0,6.0,-0.5878583333333331,1.194733333333333,0.568,2.725
20453,1,0,0,0,0,0,0,2,2,0,0,0,2,7,54,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,85.3,13.0,-0.8926333333333331,-0.1784,-1.01,2.396
20454,0,0,0,0,1,0,0,1,2,0,0,0,2,7,54,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,86.8,14.0,0.06205,0.5411333333333332,0.131,0.907
20455,0,0,0,0,1,0,0,1,1,0,0,0,2,7,54,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,85.4,9.0,0.16225,0.329,0.753,1.766
20456,0,0,0,0,1,0,0,1,0,0,0,0,2,7,54,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,86.3,4.0,0.24575,0.458,-0.544,2.307
20457,0,0,0,0,1,0,0,0,0,0,0,0,2,7,54,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,86.3,14.0,-0.259425,0.5612,1.589,-1.08
